onset,pitch,velocity,voice_id,linear_compensated,powerlaw_compensated,logarithmic_compensated,latency_linear,latency_powerlaw,latency_logarithmic,dev_lin_pow,dev_lin_log,dev_pow_log,max_deviation,Fragment,velocity_bin
75.0,64,341,1,51.666666666666664,47.22222222222222,61.835705029771795,23.333333333333336,27.77777777777778,13.164294970228205,4.444444444444443,10.16903836310513,14.613482807549573,14.613482807549573,Fragment_4_Tremolo,"(300, 400]"
90.0,64,369,1,67.21407624633432,62.60214480439625,77.06276292103263,22.78592375366569,27.397855195603753,12.937237078967378,4.611931441938069,9.848686674698314,14.460618116636383,14.460618116636383,Fragment_4_Tremolo,"(300, 400]"
105.0,64,397,1,82.76148582600196,78.01203311136146,92.2732492410873,22.238514173998045,26.98796688863854,12.7267507589127,4.749452714640498,9.51176341508534,14.261216129725838,14.261216129725838,Fragment_4_Tremolo,"(300, 400]"
120.0,64,426,1,98.32844574780059,93.46815042870288,107.47618451924097,21.671554252199414,26.531849571297116,12.523815480759023,4.860295319097702,9.147738771440387,14.00803409053809,14.00803409053809,Fragment_4_Tremolo,"(400, 500]"
135.0,64,454,1,113.87585532746823,108.93904038970732,122.65944547017212,21.12414467253177,26.06095961029269,12.340554529827884,4.936814937760914,8.783590142703886,13.7204050804648,13.7204050804648,Fragment_4_Tremolo,"(400, 500]"
150.0,64,482,1,129.4232649071359,124.43989607550293,137.83175875767154,20.576735092864126,25.560103924497074,12.168241242328456,4.9833688316329585,8.408493850535649,13.391862682168608,13.391862682168608,Fragment_4_Tremolo,"(400, 500]"
165.0,64,510,1,144.97067448680352,139.97071748608974,152.99435896187524,20.029325513196483,25.029282513910267,12.005641038124757,4.999957000713778,8.023684475071718,13.023641475785496,13.023641475785496,Fragment_4_Tremolo,"(500, 600]"
180.0,64,539,1,160.53763440860214,155.5520869464678,168.15363119410165,19.462365591397848,24.4479130535322,11.84636880589834,4.985547462134349,7.6159967854995045,12.601544247633854,12.601544247633854,Fragment_4_Tremolo,"(500, 600]"
195.0,64,567,1,176.0850439882698,171.14391001109382,183.29949423900936,18.914956011730204,23.856089988906184,11.700505760990637,4.94113397717598,7.21445025073956,12.15558422791554,12.15558422791554,Fragment_4_Tremolo,"(500, 600]"
210.0,64,595,1,191.63245356793743,186.76569880051102,198.43833704092432,18.36754643206256,23.234301199488975,11.56166295907568,4.866754767426414,6.805883472986892,11.672638240413306,11.672638240413306,Fragment_4_Tremolo,"(500, 600]"
225.0,64,623,1,207.1798631476051,202.4174533147194,213.5708044377245,17.820136852394917,22.58254668528058,11.429195562275506,4.76240983288568,6.3909412901194,11.15335112300508,11.15335112300508,Fragment_4_Tremolo,"(600, 700]"
240.0,64,652,1,222.74682306940372,218.12407491813414,228.70187836309287,17.253176930596286,21.875925081865866,11.29812163690714,4.622748151269576,5.955055293689156,10.577803444958732,10.577803444958732,Fragment_4_Tremolo,"(600, 700]"
