onset_time,pitch,velocity_xp,velocity,duration,voice_id,trigger_time
2.3200000000000007,54,550.3822242853969,69,0.042,100,2.300791788856306
2.3200000000000007,42,610.3822242853969,76,0.042,0,2.301886608015641
2.3400000000000003,95,552.8855431253022,69,0.0315,101,2.3207917888563054
2.3400000000000003,83,612.8855431253022,77,0.0315,1,2.3220430107526884
2.3600000000000008,52,519.5084920364685,65,0.128,100,2.340166177908114
2.3600000000000008,40,579.5084920364685,72,0.128,0,2.3412609970674496
2.37,93,558.8401375198252,70,0.0315,101,2.350948191593353
2.37,81,618.8401375198252,77,0.0315,1,2.352043010752688
2.4,95,636.9870127936521,80,0.0315,101,2.3825122189638317
2.4,83,696.9870127936521,87,0.0315,1,2.383607038123167
2.4299999999999997,91,642.1745735206081,80,0.0315,101,2.4125122189638315
2.4299999999999997,79,702.1745735206081,88,0.0315,1,2.413763440860215
2.4599999999999995,90,638.3981992551901,80,0.063,101,2.4425122189638313
2.4599999999999995,78,698.3981992551901,87,0.063,1,2.4436070381231665
2.5199999999999996,91,560.8238592533561,70,0.0315,101,2.5009481915933525
2.5199999999999996,79,620.8238592533561,78,0.0315,1,2.502199413489736
2.5499999999999994,84,536.9279928561614,67,0.096,101,2.5304789833822086
2.5499999999999994,72,596.9279928561614,75,0.08453079178885792,1,2.531730205278592
2.600000000000001,71,561.7958993812986,70,0.042,100,2.580948191593354
2.600000000000001,59,621.7958993812986,78,0.042,0,2.5821994134897372
2.640000000000001,72,572.5543233691576,72,0.042,100,2.62126099706745
2.640000000000001,60,632.5543233691576,79,0.042,0,2.622355816226785
2.680000000000001,71,653.9059908656092,82,0.042,100,2.662825024437929
2.680000000000001,59,713.9059908656092,89,0.042,0,2.663919843597264
2.720000000000001,74,639.2920469164421,80,0.042,100,2.702512218963833
2.720000000000001,62,699.2920469164421,87,0.042,0,2.703607038123168
2.7299999999999995,95,569.9101704807103,71,0.0315,101,2.7111045943304
2.7299999999999995,83,629.9101704807103,79,0.0315,1,2.7123558162267836
2.7599999999999993,96,592.3331803644968,74,0.0315,101,2.7415738025415437
2.7599999999999993,84,652.3331803644968,82,0.0315,1,2.742825024437927
2.760000000000001,76,654.2225124448343,82,0.084,100,2.742825024437929
2.760000000000001,64,714.2225124448343,89,0.084,0,2.743919843597264
2.789999999999999,95,649.2357019982255,81,0.0315,101,2.772668621700879
2.789999999999999,83,709.2357019982255,89,0.0315,1,2.773919843597262
2.819999999999999,98,625.1268257884057,78,0.0315,101,2.8021994134897352
2.819999999999999,86,685.1268257884057,86,0.0315,1,2.803450635386118
2.840000000000001,74,577.2495448137787,72,0.042,100,2.82126099706745
2.840000000000001,62,637.2495448137787,80,0.042,0,2.822512218963833
2.8499999999999988,100,632.502362036152,79,0.063,101,2.832355816226783
2.8499999999999988,88,692.502362036152,87,0.063,1,2.8336070381231657
2.8800000000000012,81,537.9754100998382,67,0.128,100,2.8604789833822104
2.8800000000000012,69,597.9754100998382,75,0.128,0,2.861730205278594
2.909999999999999,98,598.3903231847299,75,0.0315,101,2.8917302052785914
2.909999999999999,86,658.3903231847299,82,0.0315,1,2.8928250244379266
2.9399999999999986,105,556.9935296112307,70,0.096,101,2.9209481915933515
2.9399999999999986,93,616.9935296112307,77,0.096,1,2.9220430107526867
3.1199999999999988,95,574.2383928186923,72,0.0315,101,3.1012609970674476
3.1200000000000014,71,583.968082088146,73,0.042,100,3.101417399804498
3.1199999999999988,83,634.2383928186923,79,0.0315,1,3.102355816226783
3.1200000000000014,59,643.968082088146,80,0.042,0,3.1025122189638332
3.1499999999999986,88,580.7575816616353,73,0.063,101,3.131417399804495
3.1499999999999986,76,640.7575816616353,80,0.063,1,3.1325122189638304
3.1600000000000015,72,568.132989897815,71,0.042,100,3.141104594330402
3.1600000000000015,60,628.132989897815,79,0.042,0,3.1423558162267855
3.2000000000000015,71,654.9906084663389,82,0.042,100,3.1828250244379293
3.2000000000000015,59,714.9906084663389,89,0.042,0,3.1839198435972644
3.2099999999999986,90,676.6191308044326,85,0.0315,101,3.19329423264907
3.2099999999999986,78,736.6191308044326,92,0.0315,1,3.1943890518084053
3.2399999999999984,88,638.3884159199916,80,0.0315,101,3.22251221896383
3.2400000000000015,74,646.0284922530001,81,0.042,100,3.2226686217008815
3.2399999999999984,76,698.3884159199916,87,0.0315,1,3.2236070381231654
3.2400000000000015,62,706.0284922530001,88,0.042,0,3.2237634408602167
3.2699999999999982,84,649.8424558213949,81,0.0315,101,3.2526686217008782
3.2699999999999982,72,709.8424558213949,89,0.0315,1,3.253919843597261
3.2800000000000016,64,653.1566103119637,82,0.084,100,3.2628250244379293
3.2800000000000016,52,713.1566103119637,89,0.084,0,3.2639198435972645
3.299999999999998,86,596.8547296290768,75,0.0315,101,3.2817302052785906
3.299999999999998,74,656.8547296290768,82,0.0315,1,3.282825024437926
3.329999999999998,84,541.9473955007264,68,0.096,101,3.310635386119255
3.329999999999998,72,601.9473955007264,75,0.096,1,3.3117302052785904
3.3600000000000017,74,587.2436288389257,73,0.042,100,3.3414173998044983
3.3600000000000017,62,647.2436288389257,81,0.042,0,3.3426686217008816
3.4000000000000017,81,566.227742475822,71,0.128,100,3.3811045943304023
3.4000000000000017,69,626.227742475822,78,0.128,0,3.382199413489738
3.509999999999998,95,585.5878215737383,73,0.0315,101,3.4914173998044946
3.509999999999998,83,645.5878215737383,81,0.0315,1,3.492668621700878
3.539999999999998,96,592.4617036927533,74,0.0315,101,3.521573802541542
3.539999999999998,84,652.4617036927533,82,0.0315,1,3.5228250244379256
3.5699999999999976,95,671.239332238109,84,0.0315,101,3.553137829912021
3.5699999999999976,83,731.239332238109,91,0.0315,1,3.5542326490713565
3.5999999999999974,98,676.4923811654309,85,0.0315,101,3.583294232649069
3.5999999999999974,86,736.4923811654309,92,0.0315,1,3.584389051808404
3.6299999999999972,100,669.4180260565761,84,0.063,101,3.6131378299120205
3.6299999999999972,88,729.4180260565761,91,0.063,1,3.614232649071356
3.640000000000002,71,577.7894047099998,72,0.042,100,3.6212609970674507
3.640000000000002,59,637.7894047099998,80,0.042,0,3.6225122189638337
3.680000000000002,69,608.684546516744,76,0.042,100,3.6618866080156423
3.680000000000002,57,668.684546516744,84,0.042,0,3.663137829912025
3.6899999999999973,98,604.9685022408495,76,0.0315,101,3.6718866080156376
3.6899999999999973,86,664.9685022408495,83,0.0315,1,3.672981427174973
